# 0fee35f8-ea10-445c-b54d-aa7e25a6fa8e
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.5336119; -0.6220398; 0.8789423; -0.0000199; 8.0000000; 0.0000000
0.1999860; -0.6876137; -0.4944553; 0.8789386; -0.0000179; 8.0000000; 0.0000000
0.3999720; -0.8416152; -0.3668702; 0.8789352; -0.0000159; 8.0000000; 0.0000000
0.5999580; -0.9956162; -0.2392846; 0.8789322; -0.0000140; 8.0000000; 0.0000000
0.7999440; -1.1496168; -0.1116985; 0.8789296; -0.0000121; 8.0000000; 0.0000000
0.9999300; -1.3036172; 0.0158878; 0.8789274; -0.0000102; 8.0000000; 0.0000000
1.1999160; -1.4576173; 0.1434746; 0.8789255; -0.0000083; 8.0000000; 0.0000000
1.3999020; -1.6116172; 0.2710615; 0.8789240; -0.0000064; 8.0000000; 0.0000000
1.5998879; -1.7656169; 0.3986487; 0.8789230; -0.0000045; 8.0000000; 0.0000000
1.7998739; -1.9196165; 0.5262360; 0.8789223; -0.0000026; 8.0000000; 0.0000000
1.9998599; -2.0736160; 0.6538234; 0.8789219; -0.0000007; 8.0000000; 0.0000000
2.1998459; -2.2276155; 0.7814108; 0.8789220; 0.0000011; 8.0000000; 0.0000000
2.3998319; -2.3816151; 0.9089981; 0.8789224; 0.0000029; 8.0000000; 0.0000000
2.5998179; -2.5356147; 1.0365854; 0.8789231; 0.0000048; 8.0000000; 0.0000000
2.7998039; -2.6896145; 1.1641726; 0.8789243; 0.0000066; 8.0000000; 0.0000000
2.9997899; -2.8436144; 1.2917595; 0.8789258; 0.0000084; 8.0000000; 0.0000000
3.1997759; -2.9976145; 1.4193462; 0.8789276; 0.0000102; 8.0000000; 0.0000000
3.3997619; -3.1516149; 1.5469325; 0.8789299; 0.0000120; 8.0000000; 0.0000000
3.5997479; -3.3056156; 1.6745185; 0.8789325; 0.0000138; 8.0000000; 0.0000000
3.7997339; -3.4596166; 1.8021041; 0.8789354; 0.0000156; 8.0000000; 0.0000000
3.9997199; -3.6136181; 1.9296891; 0.8789387; 0.0000174; 8.0000000; 0.0000000
