# a34db043-345e-40d7-99fe-8c0d20d40dde
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.5549085; -0.6243834; 2.5659537; -0.0000118; 8.0000000; 0.0000000
0.1999128; 0.4460816; -0.7920791; 2.5659516; -0.0000100; 8.0000000; 0.0000000
0.3998256; 0.3372544; -0.9597745; 2.5659498; -0.0000082; 8.0000000; 0.0000000
0.5997384; 0.2284269; -1.1274698; 2.5659483; -0.0000063; 8.0000000; 0.0000000
0.7996512; 0.1195992; -1.2951649; 2.5659472; -0.0000045; 8.0000000; 0.0000000
0.9995640; 0.0107713; -1.4628600; 2.5659465; -0.0000027; 8.0000000; 0.0000000
1.1994769; -0.0980566; -1.6305550; 2.5659461; -0.0000009; 8.0000000; 0.0000000
1.3993897; -0.2068846; -1.7982499; 2.5659462; 0.0000010; 8.0000000; 0.0000000
1.5993025; -0.3157126; -1.9659449; 2.5659465; 0.0000028; 8.0000000; 0.0000000
1.7992153; -0.4245404; -2.1336400; 2.5659473; 0.0000046; 8.0000000; 0.0000000
1.9991281; -0.5333681; -2.3013351; 2.5659484; 0.0000064; 8.0000000; 0.0000000
2.1990409; -0.6421956; -2.4690304; 2.5659498; 0.0000083; 8.0000000; 0.0000000
2.3989537; -0.7510228; -2.6367259; 2.5659517; 0.0000101; 8.0000000; 0.0000000
2.5988665; -0.8598497; -2.8044215; 2.5659539; 0.0000119; 8.0000000; 0.0000000
2.7987793; -0.9686762; -2.9721175; 2.5659565; 0.0000138; 8.0000000; 0.0000000
2.9986921; -1.0775022; -3.1398137; 2.5659594; 0.0000156; 8.0000000; 0.0000000
3.1986050; -1.1863277; -3.3075103; 2.5659627; 0.0000174; 8.0000000; 0.0000000
3.3985178; -1.2951526; -3.4752073; 2.5659664; 0.0000193; 8.0000000; 0.0000000
3.5984306; -1.4039768; -3.6429047; 2.5659704; 0.0000211; 8.0000000; 0.0000000
3.7983434; -1.5128004; -3.8106025; 2.5659748; 0.0000229; 8.0000000; 0.0000000
3.9982562; -1.6216231; -3.9783009; 2.5659796; 0.0000248; 8.0000000; 0.0000000
4.1981690; -1.7304451; -4.1459997; 2.5659847; 0.0000266; 8.0000000; 0.0000000
4.3980818; -1.8392662; -4.3136992; 2.5659902; 0.0000284; 8.0000000; 0.0000000
4.5979946; -1.9480863; -4.4813993; 2.5659961; 0.0000302; 8.0000000; 0.0000000
4.7979074; -2.0569053; -4.6491000; 2.5660023; 0.0000321; 8.0000000; 0.0000000
4.9978202; -2.1657234; -4.8168015; 2.5660089; 0.0000339; 8.0000000; 0.0000000
5.1977331; -2.2745402; -4.9845036; 2.5660159; 0.0000357; 8.0000000; 0.0000000
5.3976459; -2.3833559; -5.1522066; 2.5660232; 0.0000375; 8.0000000; 0.0000000
5.5975587; -2.4921703; -5.3199103; 2.5660309; 0.0000393; 8.0000000; 0.0000000
5.7974715; -2.6009834; -5.4876150; 2.5660389; 0.0000411; 8.0000000; 0.0000000
5.9973843; -2.7097952; -5.6553205; 2.5660473; 0.0000429; 8.0000000; 0.0000000
6.1972971; -2.8186055; -5.8230269; 2.5660561; 0.0000447; 8.0000000; 0.0000000
6.3972099; -2.9274142; -5.9907343; 2.5660652; 0.0000465; 8.0000000; 0.0000000
6.5971227; -3.0362215; -6.1584428; 2.5660747; 0.0000483; 8.0000000; 0.0000000
6.7970355; -3.1450271; -6.3261523; 2.5660845; 0.0000501; 8.0000000; 0.0000000
6.9969483; -3.2538310; -6.4938628; 2.5660947; 0.0000519; 8.0000000; 0.0000000
7.1968612; -3.3626332; -6.6615745; 2.5661052; 0.0000536; 8.0000000; 0.0000000
7.3967740; -3.4714336; -6.8292874; 2.5661161; 0.0000554; 8.0000000; 0.0000000
7.5966868; -3.5802321; -6.9970015; 2.5661274; 0.0000572; 8.0000000; 0.0000000
7.7965996; -3.6890288; -7.1647168; 2.5661390; 0.0000589; 8.0000000; 0.0000000
7.9965124; -3.7978234; -7.3324334; 2.5661509; 0.0000607; 8.0000000; 0.0000000
8.1964252; -3.9066160; -7.5001513; 2.5661632; 0.0000624; 8.0000000; 0.0000000
8.3963380; -4.0154065; -7.6678706; 2.5661759; 0.0000642; 8.0000000; 0.0000000
8.5962508; -4.1241949; -7.8355913; 2.5661889; 0.0000659; 8.0000000; 0.0000000
8.7961636; -4.2329810; -8.0033134; 2.5662022; 0.0000676; 8.0000000; 0.0000000
8.9960764; -4.3417649; -8.1710369; 2.5662159; 0.0000693; 8.0000000; 0.0000000
9.1959893; -4.4505465; -8.3387620; 2.5662300; 0.0000710; 8.0000000; 0.0000000
9.3959021; -4.5593257; -8.5064887; 2.5662443; 0.0000727; 8.0000000; 0.0000000
9.5958149; -4.6681024; -8.6742169; 2.5662590; 0.0000744; 8.0000000; 0.0000000
9.7957277; -4.7768766; -8.8419467; 2.5662741; 0.0000761; 8.0000000; 0.0000000
9.9956405; -4.8856483; -9.0096782; 2.5662895; 0.0000778; 8.0000000; 0.0000000
10.1955533; -4.9944174; -9.1774113; 2.5663052; 0.0000795; 8.0000000; 0.0000000
10.3954661; -5.1031838; -9.3451462; 2.5663213; 0.0000811; 8.0000000; 0.0000000
10.5953789; -5.2119475; -9.5128829; 2.5663376; 0.0000828; 8.0000000; 0.0000000
10.7952917; -5.3207085; -9.6806214; 2.5663544; 0.0000844; 8.0000000; 0.0000000
10.9952045; -5.4294666; -9.8483617; 2.5663714; 0.0000861; 8.0000000; 0.0000000
11.1951173; -5.5382218; -10.0161039; 2.5663888; 0.0000877; 8.0000000; 0.0000000
11.3950302; -5.6469740; -10.1838479; 2.5664065; 0.0000893; 8.0000000; 0.0000000
11.5949430; -5.7557233; -10.3515940; 2.5664245; 0.0000909; 8.0000000; 0.0000000
11.7948558; -5.8644695; -10.5193420; 2.5664428; 0.0000925; 8.0000000; 0.0000000
11.9947686; -5.9732126; -10.6870920; 2.5664615; 0.0000941; 8.0000000; 0.0000000
