# b4db08cd-c691-4ea1-9aa9-4452c642c058
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.6862325; -0.3130455; 0.4453921; 0.0017292; 8.0000000; 0.0000000
0.1999221; -0.7723926; -0.1326424; 0.4457410; 0.0017612; 8.0000000; 0.0000000
0.3998442; -0.8586163; 0.0477303; 0.4460964; 0.0017932; 8.0000000; 0.0000000
0.5997663; -0.9449047; 0.2280721; 0.4464580; 0.0018237; 8.0000000; 0.0000000
0.7996884; -1.0312587; 0.4083824; 0.4468255; 0.0018526; 8.0000000; 0.0000000
0.9996104; -1.1176796; 0.5886608; 0.4471987; 0.0018816; 8.0000000; 0.0000000
1.1995325; -1.2041683; 0.7689066; 0.4475775; 0.0019073; 8.0000000; 0.0000000
1.3994546; -1.2907256; 0.9491194; 0.4479614; 0.0019329; 8.0000000; 0.0000000
1.5993767; -1.3773527; 1.1292988; 0.4483503; 0.0019572; 8.0000000; 0.0000000
1.7992988; -1.4640502; 1.3094442; 0.4487439; 0.0019801; 8.0000000; 0.0000000
1.9992209; -1.5508190; 1.4895553; 0.4491420; 0.0020030; 8.0000000; 0.0000000
2.1991430; -1.6376599; 1.6696317; 0.4495445; 0.0020235; 8.0000000; 0.0000000
2.3990651; -1.7245736; 1.8496729; 0.4499511; 0.0020439; 8.0000000; 0.0000000
2.5989872; -1.8115610; 2.0296786; 0.4503616; 0.0020603; 8.0000000; 0.0000000
2.7989092; -1.8986224; 2.2096485; 0.4507747; 0.0020727; 8.0000000; 0.0000000
2.9988313; -1.9857584; 2.3895822; 0.4511903; 0.0020848; 8.0000000; 0.0000000
3.1987534; -2.0729693; 2.5694797; 0.4516063; 0.0020765; 8.0000000; 0.0000000
3.3986755; -2.1602548; 2.7493410; 0.4520206; 0.0020682; 8.0000000; 0.0000000
3.5985976; -2.2476148; 2.9291661; 0.4524330; 0.0020555; 8.0000000; 0.0000000
3.7985197; -2.3350486; 3.1089554; 0.4528423; 0.0020385; 8.0000000; 0.0000000
3.9984418; -2.4225556; 3.2887090; 0.4532481; 0.0020214; 8.0000000; 0.0000000
4.1983639; -2.5101353; 3.4684272; 0.4536503; 0.0020025; 8.0000000; 0.0000000
4.3982860; -2.5977869; 3.6481104; 0.4540488; 0.0019835; 8.0000000; 0.0000000
