# a356015a-cb55-4bd3-8217-41ab34423ca5
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.8243256; 0.2019914; -3.1219615; 0.0000498; 8.0000000; 0.0000000
0.1999905; -0.8203988; 0.0020394; -3.1219514; 0.0000513; 8.0000000; 0.0000000
0.3999811; -0.8164700; -0.1979125; -3.1219409; 0.0000529; 8.0000000; 0.0000000
0.5999716; -0.8125390; -0.3978645; -3.1219302; 0.0000543; 8.0000000; 0.0000000
0.7999622; -0.8086058; -0.5978163; -3.1219192; 0.0000555; 8.0000000; 0.0000000
0.9999527; -0.8046705; -0.7977682; -3.1219080; 0.0000567; 8.0000000; 0.0000000
1.1999433; -0.8007329; -0.9977199; -3.1218966; 0.0000576; 8.0000000; 0.0000000
1.3999338; -0.7967929; -1.1976717; -3.1218850; 0.0000585; 8.0000000; 0.0000000
1.5999244; -0.7928507; -1.3976234; -3.1218732; 0.0000592; 8.0000000; 0.0000000
1.7999149; -0.7889060; -1.5975750; -3.1218613; 0.0000598; 8.0000000; 0.0000000
1.9999055; -0.7849590; -1.7975266; -3.1218493; 0.0000604; 8.0000000; 0.0000000
2.1998960; -0.7810096; -1.9974781; -3.1218372; 0.0000608; 8.0000000; 0.0000000
2.3998866; -0.7770577; -2.1974296; -3.1218250; 0.0000611; 8.0000000; 0.0000000
2.5998771; -0.7731034; -2.3973811; -3.1218127; 0.0000613; 8.0000000; 0.0000000
2.7998677; -0.7691466; -2.5973325; -3.1218005; 0.0000613; 8.0000000; 0.0000000
2.9998582; -0.7651874; -2.7972839; -3.1217882; 0.0000613; 8.0000000; 0.0000000
3.1998488; -0.7612257; -2.9972351; -3.1217760; 0.0000611; 8.0000000; 0.0000000
3.3998393; -0.7572616; -3.1971864; -3.1217638; 0.0000609; 8.0000000; 0.0000000
3.5998299; -0.7532951; -3.3971376; -3.1217516; 0.0000605; 8.0000000; 0.0000000
3.7998204; -0.7493261; -3.5970888; -3.1217396; 0.0000600; 8.0000000; 0.0000000
3.9998110; -0.7453548; -3.7970399; -3.1217276; 0.0000595; 8.0000000; 0.0000000
4.1998015; -0.7413810; -3.9969910; -3.1217158; 0.0000587; 8.0000000; 0.0000000
4.3997921; -0.7374049; -4.1969420; -3.1217042; 0.0000579; 8.0000000; 0.0000000
4.5997826; -0.7334265; -4.3968930; -3.1216927; 0.0000570; 8.0000000; 0.0000000
4.7997732; -0.7294459; -4.5968439; -3.1216814; 0.0000560; 8.0000000; 0.0000000
4.9997637; -0.7254629; -4.7967948; -3.1216703; 0.0000550; 8.0000000; 0.0000000
5.1997543; -0.7214778; -4.9967456; -3.1216594; 0.0000535; 8.0000000; 0.0000000
5.3997448; -0.7174906; -5.1966964; -3.1216489; 0.0000520; 8.0000000; 0.0000000
5.5997354; -0.7135012; -5.3966472; -3.1216386; 0.0000501; 8.0000000; 0.0000000
5.7997259; -0.7095099; -5.5965979; -3.1216289; 0.0000476; 8.0000000; 0.0000000
