# e630c184-8d4d-4a86-ae6f-451690b30b6c
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.4338847; -0.6118584; 0.8048699; 0.0002952; 8.0000000; 0.0000000
0.1999392; -0.5779931; -0.4732637; 0.8049288; 0.0002946; 8.0000000; 0.0000000
0.3998785; -0.7221096; -0.3346776; 0.8049877; 0.0002941; 8.0000000; 0.0000000
0.5998177; -0.8662343; -0.1960999; 0.8050464; 0.0002936; 8.0000000; 0.0000000
0.7997569; -1.0103671; -0.0575307; 0.8051051; 0.0002931; 8.0000000; 0.0000000
0.9996961; -1.1545081; 0.0810300; 0.8051636; 0.0002927; 8.0000000; 0.0000000
1.1996354; -1.2986571; 0.2195824; 0.8052221; 0.0002925; 8.0000000; 0.0000000
1.3995746; -1.4428143; 0.3581263; 0.8052806; 0.0002922; 8.0000000; 0.0000000
1.5995138; -1.5869795; 0.4966617; 0.8053390; 0.0002921; 8.0000000; 0.0000000
1.7994530; -1.7311529; 0.6351888; 0.8053974; 0.0002920; 8.0000000; 0.0000000
1.9993923; -1.8753343; 0.7737074; 0.8054558; 0.0002920; 8.0000000; 0.0000000
2.1993315; -2.0195238; 0.9122176; 0.8055142; 0.0002921; 8.0000000; 0.0000000
2.3992707; -2.1637214; 1.0507194; 0.8055726; 0.0002923; 8.0000000; 0.0000000
2.5992099; -2.3079271; 1.1892128; 0.8056310; 0.0002925; 8.0000000; 0.0000000
2.7991492; -2.4521409; 1.3276977; 0.8056895; 0.0002928; 8.0000000; 0.0000000
2.9990884; -2.5963628; 1.4661742; 0.8057481; 0.0002931; 8.0000000; 0.0000000
3.1990276; -2.7405928; 1.6046422; 0.8058068; 0.0002936; 8.0000000; 0.0000000
3.3989668; -2.8848309; 1.7431018; 0.8058655; 0.0002941; 8.0000000; 0.0000000
3.5989061; -3.0290772; 1.8815529; 0.8059244; 0.0002947; 8.0000000; 0.0000000
3.7988453; -3.1733317; 2.0199955; 0.8059834; 0.0002953; 8.0000000; 0.0000000
3.9987845; -3.3175943; 2.1584296; 0.8060425; 0.0002960; 8.0000000; 0.0000000
4.1987237; -3.4618651; 2.2968551; 0.8061017; 0.0002968; 8.0000000; 0.0000000
4.3986630; -3.6061441; 2.4352721; 0.8061612; 0.0002977; 8.0000000; 0.0000000
4.5986022; -3.7504314; 2.5736804; 0.8062208; 0.0002986; 8.0000000; 0.0000000
4.7985414; -3.8947269; 2.7120802; 0.8062806; 0.0002996; 8.0000000; 0.0000000
4.9984807; -4.0390307; 2.8504713; 0.8063406; 0.0003006; 8.0000000; 0.0000000
5.1984199; -4.1833428; 2.9888538; 0.8064008; 0.0003018; 8.0000000; 0.0000000
5.3983591; -4.3276633; 3.1272275; 0.8064612; 0.0003029; 8.0000000; 0.0000000
5.5982983; -4.4719922; 3.2655925; 0.8065219; 0.0003042; 8.0000000; 0.0000000
5.7982376; -4.6163294; 3.4039488; 0.8065829; 0.0003055; 8.0000000; 0.0000000
5.9981768; -4.7606752; 3.5422962; 0.8066441; 0.0003068; 8.0000000; 0.0000000
6.1981160; -4.9050294; 3.6806347; 0.8067056; 0.0003083; 8.0000000; 0.0000000
6.3980552; -5.0493921; 3.8189644; 0.8067674; 0.0003098; 8.0000000; 0.0000000
