# 26815e17-1d5c-4ef3-9420-b0fa03b8fae9
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.6562914; 0.1421486; -0.0681187; -0.0035463; 8.0000000; 0.0000000
0.1999859; -0.6426086; 0.3416661; -0.0688241; -0.0035075; 8.0000000; 0.0000000
0.3999718; -0.6287859; 0.5411737; -0.0695216; -0.0034686; 8.0000000; 0.0000000
0.5999577; -0.6148248; 0.7406717; -0.0702114; -0.0034298; 8.0000000; 0.0000000
0.7999437; -0.6007269; 0.9401601; -0.0708935; -0.0033911; 8.0000000; 0.0000000
0.9999296; -0.5864937; 1.1396387; -0.0715677; -0.0033523; 8.0000000; 0.0000000
1.1999155; -0.5721268; 1.3391081; -0.0722343; -0.0033135; 8.0000000; 0.0000000
1.3999014; -0.5576277; 1.5385676; -0.0728931; -0.0032747; 8.0000000; 0.0000000
1.5998873; -0.5429979; 1.7380177; -0.0735441; -0.0032360; 8.0000000; 0.0000000
1.7998732; -0.5282391; 1.9374583; -0.0741874; -0.0031972; 8.0000000; 0.0000000
1.9998592; -0.5133528; 2.1368893; -0.0748229; -0.0031585; 8.0000000; 0.0000000
2.1998451; -0.4983405; 2.3363111; -0.0754507; -0.0031197; 8.0000000; 0.0000000
2.3998310; -0.4832038; 2.5357233; -0.0760707; -0.0030810; 8.0000000; 0.0000000
2.5998169; -0.4679442; 2.7351262; -0.0766830; -0.0030423; 8.0000000; 0.0000000
2.7998028; -0.4525633; 2.9345198; -0.0772875; -0.0030036; 8.0000000; 0.0000000
2.9997887; -0.4370627; 3.1339039; -0.0778843; -0.0029648; 8.0000000; 0.0000000
3.1997746; -0.4214438; 3.3332792; -0.0784734; -0.0029261; 8.0000000; 0.0000000
3.3997606; -0.4057083; 3.5326450; -0.0790547; -0.0028874; 8.0000000; 0.0000000
3.5997465; -0.3898576; 3.7320018; -0.0796283; -0.0028487; 8.0000000; 0.0000000
3.7997324; -0.3738934; 3.9313495; -0.0801941; -0.0028100; 8.0000000; 0.0000000
3.9997183; -0.3578171; 4.1306881; -0.0807522; -0.0027714; 8.0000000; 0.0000000
4.1997042; -0.3416304; 4.3300180; -0.0813026; -0.0027327; 8.0000000; 0.0000000
4.3996901; -0.3253347; 4.5293388; -0.0818452; -0.0026940; 8.0000000; 0.0000000
4.5996761; -0.3089316; 4.7286509; -0.0823801; -0.0026552; 8.0000000; 0.0000000
4.7996620; -0.2924227; 4.9279543; -0.0829072; -0.0026164; 8.0000000; 0.0000000
4.9996479; -0.2758096; 5.1272488; -0.0834266; -0.0025776; 8.0000000; 0.0000000
5.1996338; -0.2590937; 5.3265351; -0.0839382; -0.0025388; 8.0000000; 0.0000000
5.3996197; -0.2422766; 5.5258126; -0.0844420; -0.0024999; 8.0000000; 0.0000000
5.5996056; -0.2253599; 5.7250817; -0.0849381; -0.0024611; 8.0000000; 0.0000000
5.7995915; -0.2083451; 5.9243426; -0.0854264; -0.0024223; 8.0000000; 0.0000000
