# e905e3a4-168a-4984-a68f-da2be39d239d
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0776411; 0.0197835; 1.2151508; 0.0001430; 8.0000000; 0.0000000
0.1999089; -0.1097591; 0.0893876; 1.2151893; 0.0002420; 8.0000000; 0.0000000
0.3998177; -0.2971626; 0.1589826; 1.2152475; 0.0003410; 8.0000000; 0.0000000
0.5997266; -0.4845709; 0.2285648; 1.2153256; 0.0004399; 8.0000000; 0.0000000
0.7996355; -0.6719853; 0.2981306; 1.2154234; 0.0005388; 8.0000000; 0.0000000
0.9995444; -0.8594072; 0.3676762; 1.2155410; 0.0006377; 8.0000000; 0.0000000
1.1994532; -1.0468379; 0.4371979; 1.2156784; 0.0007362; 8.0000000; 0.0000000
1.3993621; -1.2342789; 0.5066920; 1.2158354; 0.0008347; 8.0000000; 0.0000000
1.5992710; -1.4217315; 0.5761548; 1.2160121; 0.0009329; 8.0000000; 0.0000000
1.7991798; -1.6091970; 0.6455826; 1.2162084; 0.0010311; 8.0000000; 0.0000000
1.9990887; -1.7966770; 0.7149719; 1.2164243; 0.0011292; 8.0000000; 0.0000000
2.1989976; -1.9841723; 0.7843187; 1.2166598; 0.0012270; 8.0000000; 0.0000000
2.3989064; -2.1716848; 0.8536197; 1.2169149; 0.0013247; 8.0000000; 0.0000000
2.5988153; -2.3592157; 0.9228709; 1.2171894; 0.0014223; 8.0000000; 0.0000000
2.7987242; -2.5467661; 0.9920688; 1.2174835; 0.0015197; 8.0000000; 0.0000000
2.9986331; -2.7343379; 1.0612099; 1.2177970; 0.0016171; 8.0000000; 0.0000000
3.1985419; -2.9219315; 1.1302901; 1.2181300; 0.0017142; 8.0000000; 0.0000000
3.3984508; -3.1095492; 1.1993061; 1.2184824; 0.0018113; 8.0000000; 0.0000000
3.5983597; -3.2971917; 1.2682542; 1.2188542; 0.0019081; 8.0000000; 0.0000000
3.7982685; -3.4848604; 1.3371307; 1.2192453; 0.0020049; 8.0000000; 0.0000000
3.9981774; -3.6725571; 1.4059320; 1.2196558; 0.0021016; 8.0000000; 0.0000000
4.1980863; -3.8602821; 1.4746543; 1.2200855; 0.0021980; 8.0000000; 0.0000000
4.3979951; -4.0480376; 1.5432943; 1.2205346; 0.0022944; 8.0000000; 0.0000000
4.5979040; -4.2358246; 1.6118481; 1.2210029; 0.0023906; 8.0000000; 0.0000000
4.7978129; -4.4236441; 1.6803121; 1.2214904; 0.0024867; 8.0000000; 0.0000000
4.9977218; -4.6114982; 1.7486829; 1.2219971; 0.0025828; 8.0000000; 0.0000000
5.1976306; -4.7993867; 1.8169564; 1.2225230; 0.0026786; 8.0000000; 0.0000000
5.3975395; -4.9873123; 1.8851295; 1.2230680; 0.0027743; 8.0000000; 0.0000000
