# b6090c78-2c38-489a-9705-9f7a69b9fcd5
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.8157367; -0.1041683; -2.8953995; 0.0041634; 8.0000000; 0.0000000
0.1999628; -0.7669226; -0.2980826; -2.8945761; 0.0040716; 8.0000000; 0.0000000
0.3999256; -0.7179510; -0.4919556; -2.8937712; 0.0039798; 8.0000000; 0.0000000
0.5998883; -0.6688251; -0.6857900; -2.8929845; 0.0038877; 8.0000000; 0.0000000
0.7998511; -0.6195484; -0.8795864; -2.8922164; 0.0037953; 8.0000000; 0.0000000
0.9998139; -0.5701251; -1.0733440; -2.8914667; 0.0037030; 8.0000000; 0.0000000
1.1997767; -0.5205577; -1.2670670; -2.8907353; 0.0036122; 8.0000000; 0.0000000
1.3997394; -0.4708507; -1.4607528; -2.8900221; 0.0035214; 8.0000000; 0.0000000
1.5997022; -0.4210073; -1.6544039; -2.8893268; 0.0034352; 8.0000000; 0.0000000
1.7996650; -0.3710308; -1.8480210; -2.8886481; 0.0033534; 8.0000000; 0.0000000
1.9996278; -0.3209248; -2.0416033; -2.8879857; 0.0032715; 8.0000000; 0.0000000
2.1995905; -0.2706917; -2.2351546; -2.8873395; 0.0031914; 8.0000000; 0.0000000
2.3995533; -0.2203354; -2.4286727; -2.8867094; 0.0031113; 8.0000000; 0.0000000
2.5995161; -0.1698586; -2.6221596; -2.8860953; 0.0030308; 8.0000000; 0.0000000
2.7994789; -0.1192645; -2.8156162; -2.8854973; 0.0029499; 8.0000000; 0.0000000
2.9994416; -0.0685566; -3.0090418; -2.8849155; 0.0028690; 8.0000000; 0.0000000
3.1994044; -0.0177373; -3.2024400; -2.8843500; 0.0027873; 8.0000000; 0.0000000
3.3993672; 0.0331895; -3.3958087; -2.8838008; 0.0027056; 8.0000000; 0.0000000
3.5993300; 0.0842210; -3.5891501; -2.8832680; 0.0026236; 8.0000000; 0.0000000
3.7992927; 0.1353540; -3.7824650; -2.8827516; 0.0025412; 8.0000000; 0.0000000
3.9992555; 0.1865849; -3.9757527; -2.8822517; 0.0024587; 8.0000000; 0.0000000
4.1992183; 0.2379112; -4.1690169; -2.8817684; 0.0023755; 8.0000000; 0.0000000
4.3991811; 0.2893291; -4.3622556; -2.8813017; 0.0022923; 8.0000000; 0.0000000
4.5991438; 0.3408356; -4.5554710; -2.8808516; 0.0022087; 8.0000000; 0.0000000
4.7991066; 0.3924276; -4.7486639; -2.8804183; 0.0021248; 8.0000000; 0.0000000
