# 7c82aefe-47b4-4126-9b48-5e2ced0803ef
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.4981437; 0.1949189; 0.6188585; 0.0032001; 8.0000000; 0.0000000
0.1999773; 0.3820838; 0.3577723; 0.6194906; 0.0031220; 8.0000000; 0.0000000
0.3999546; 0.2659226; 0.5205525; 0.6201072; 0.0030439; 8.0000000; 0.0000000
0.5999319; 0.1496622; 0.6832622; 0.6207080; 0.0029649; 8.0000000; 0.0000000
0.7999091; 0.0333053; 0.8459031; 0.6212929; 0.0028849; 8.0000000; 0.0000000
0.9998864; -0.0831451; 1.0084762; 0.6218618; 0.0028049; 8.0000000; 0.0000000
1.1998637; -0.1996872; 1.1709848; 0.6224147; 0.0027242; 8.0000000; 0.0000000
1.3998410; -0.3163174; 1.3334294; 0.6229514; 0.0026434; 8.0000000; 0.0000000
1.5998183; -0.4330335; 1.4958124; 0.6234719; 0.0025623; 8.0000000; 0.0000000
1.7997956; -0.5498330; 1.6581358; 0.6239761; 0.0024807; 8.0000000; 0.0000000
1.9997729; -0.6667126; 1.8204006; 0.6244641; 0.0023991; 8.0000000; 0.0000000
2.1997502; -0.7836706; 1.9826102; 0.6249356; 0.0023168; 8.0000000; 0.0000000
2.3997274; -0.9007033; 2.1447650; 0.6253907; 0.0022345; 8.0000000; 0.0000000
2.5997047; -1.0178086; 2.3068676; 0.6258293; 0.0021520; 8.0000000; 0.0000000
2.7996820; -1.1349837; 2.4689200; 0.6262514; 0.0020691; 8.0000000; 0.0000000
2.9996593; -1.2522255; 2.6309233; 0.6266568; 0.0019862; 8.0000000; 0.0000000
3.1996366; -1.3695322; 2.7928808; 0.6270457; 0.0019028; 8.0000000; 0.0000000
3.3996139; -1.4869002; 2.9547932; 0.6274179; 0.0018194; 8.0000000; 0.0000000
3.5995912; -1.6043271; 3.1166630; 0.6277734; 0.0017358; 8.0000000; 0.0000000
3.7995685; -1.7218103; 3.2784921; 0.6281121; 0.0016519; 8.0000000; 0.0000000
3.9995457; -1.8393466; 3.4402820; 0.6284341; 0.0015680; 8.0000000; 0.0000000
4.1995230; -1.9569342; 3.6020356; 0.6287392; 0.0014837; 8.0000000; 0.0000000
4.3995003; -2.0745694; 3.7637540; 0.6290275; 0.0013994; 8.0000000; 0.0000000
4.5994776; -2.1922499; 3.9254395; 0.6292989; 0.0013148; 8.0000000; 0.0000000
4.7994549; -2.3099730; 4.0870942; 0.6295534; 0.0012301; 8.0000000; 0.0000000
4.9994322; -2.4277356; 4.2487195; 0.6297909; 0.0011454; 8.0000000; 0.0000000
5.1994095; -2.5455356; 4.4103184; 0.6300114; 0.0010602; 8.0000000; 0.0000000
5.3993868; -2.6633696; 4.5718919; 0.6302149; 0.0009750; 8.0000000; 0.0000000
5.5993640; -2.7812352; 4.7334426; 0.6304014; 0.0008897; 8.0000000; 0.0000000
5.7993413; -2.8991296; 4.8949724; 0.6305707; 0.0008041; 8.0000000; 0.0000000
5.9993186; -3.0170497; 5.0564828; 0.6307230; 0.0007185; 8.0000000; 0.0000000
6.1992959; -3.1349934; 5.2179769; 0.6308581; 0.0006326; 8.0000000; 0.0000000
6.3992732; -3.2529573; 5.3794557; 0.6309760; 0.0005466; 8.0000000; 0.0000000
