# 17b4de0d-c737-4d0b-b937-32bd2ef0c95b
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0440806; -0.8491629; 1.8326155; 0.0000525; 8.0000000; 0.0000000
0.1999592; -0.2372250; -0.9009210; 1.8326266; 0.0000585; 8.0000000; 0.0000000
0.3999183; -0.4303688; -0.9526814; 1.8326389; 0.0000644; 8.0000000; 0.0000000
0.5998775; -0.6235119; -1.0044443; 1.8326524; 0.0000702; 8.0000000; 0.0000000
0.7998367; -0.8166543; -1.0562099; 1.8326670; 0.0000759; 8.0000000; 0.0000000
0.9997958; -1.0097960; -1.1079784; 1.8326827; 0.0000816; 8.0000000; 0.0000000
1.1997550; -1.2029368; -1.1597500; 1.8326996; 0.0000870; 8.0000000; 0.0000000
1.3997142; -1.3960767; -1.2115250; 1.8327175; 0.0000925; 8.0000000; 0.0000000
1.5996733; -1.5892156; -1.2633036; 1.8327366; 0.0000978; 8.0000000; 0.0000000
1.7996325; -1.7823535; -1.3150860; 1.8327566; 0.0001029; 8.0000000; 0.0000000
1.9995916; -1.9754904; -1.3668723; 1.8327777; 0.0001081; 8.0000000; 0.0000000
2.1995508; -2.1686261; -1.4186628; 1.8327998; 0.0001130; 8.0000000; 0.0000000
2.3995100; -2.3617606; -1.4704577; 1.8328229; 0.0001179; 8.0000000; 0.0000000
2.5994691; -2.5548940; -1.5222571; 1.8328469; 0.0001226; 8.0000000; 0.0000000
2.7994283; -2.7480260; -1.5740613; 1.8328719; 0.0001271; 8.0000000; 0.0000000
2.9993875; -2.9411568; -1.6258704; 1.8328978; 0.0001316; 8.0000000; 0.0000000
3.1993466; -3.1342862; -1.6776845; 1.8329245; 0.0001358; 8.0000000; 0.0000000
3.3993058; -3.3274142; -1.7295039; 1.8329521; 0.0001400; 8.0000000; 0.0000000
3.5992650; -3.5205407; -1.7813287; 1.8329805; 0.0001440; 8.0000000; 0.0000000
3.7992241; -3.7136658; -1.8331591; 1.8330096; 0.0001478; 8.0000000; 0.0000000
3.9991833; -3.9067893; -1.8849951; 1.8330396; 0.0001515; 8.0000000; 0.0000000
4.1991425; -4.0999112; -1.9368370; 1.8330702; 0.0001549; 8.0000000; 0.0000000
4.3991016; -4.2930315; -1.9886849; 1.8331015; 0.0001583; 8.0000000; 0.0000000
4.5990608; -4.4861502; -2.0405389; 1.8331335; 0.0001615; 8.0000000; 0.0000000
4.7990200; -4.6792673; -2.0923992; 1.8331661; 0.0001645; 8.0000000; 0.0000000
4.9989791; -4.8723826; -2.1442658; 1.8331993; 0.0001674; 8.0000000; 0.0000000
5.1989383; -5.0654961; -2.1961388; 1.8332330; 0.0001700; 8.0000000; 0.0000000
