# 64710187-dfbe-46fa-b233-42c6c6c6662f
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1498837; 0.7210959; -1.4961485; -0.0108128; 7.9403994; 1.8246763
0.1999285; 0.3492710; 0.7357923; -1.4982861; -0.0105710; 7.9862101; 0.5513167
0.3998569; 0.5486892; 0.7500674; -1.5003754; -0.0103292; 8.0000000; 0.0000000
0.5997854; 0.7481364; 0.7639305; -1.5024164; -0.0100876; 8.0000000; 0.0000000
0.7997138; 0.9476111; 0.7773915; -1.5044090; -0.0098460; 8.0000000; 0.0000000
0.9996423; 1.1471121; 0.7904597; -1.5063533; -0.0096044; 8.0000000; 0.0000000
1.1995707; 1.3466377; 0.8031448; -1.5082493; -0.0093615; 8.0000000; 0.0000000
1.3994992; 1.5461867; 0.8154565; -1.5100966; -0.0091187; 8.0000000; 0.0000000
1.5994276; 1.7457578; 0.8274043; -1.5118954; -0.0088755; 8.0000000; 0.0000000
1.7993561; 1.9453498; 0.8389980; -1.5136455; -0.0086321; 8.0000000; 0.0000000
1.9992845; 2.1449615; 0.8502472; -1.5153470; -0.0083887; 8.0000000; 0.0000000
2.1992130; 2.3445918; 0.8611617; -1.5169997; -0.0081442; 8.0000000; 0.0000000
2.3991414; 2.5442396; 0.8717511; -1.5186035; -0.0078998; 8.0000000; 0.0000000
2.5990699; 2.7439039; 0.8820251; -1.5201585; -0.0076548; 8.0000000; 0.0000000
2.7989983; 2.9435837; 0.8919936; -1.5216643; -0.0074094; 8.0000000; 0.0000000
2.9989268; 3.1432779; 0.9016662; -1.5231212; -0.0071640; 8.0000000; 0.0000000
3.1988552; 3.3429860; 0.9110529; -1.5245288; -0.0069175; 8.0000000; 0.0000000
3.3987837; 3.5427067; 0.9201633; -1.5258872; -0.0066710; 8.0000000; 0.0000000
3.5987121; 3.7424395; 0.9290074; -1.5271962; -0.0064240; 8.0000000; 0.0000000
3.7986406; 3.9421835; 0.9375949; -1.5284558; -0.0061764; 8.0000000; 0.0000000
3.9985690; 4.1419377; 0.9459357; -1.5296659; -0.0059288; 8.0000000; 0.0000000
4.1984975; 4.3417020; 0.9540398; -1.5308264; -0.0056802; 8.0000000; 0.0000000
4.3984259; 4.5414751; 0.9619171; -1.5319372; -0.0054316; 8.0000000; 0.0000000
4.5983544; 4.7412568; 0.9695773; -1.5329982; -0.0051824; 8.0000000; 0.0000000
4.7982828; 4.9410463; 0.9770306; -1.5340094; -0.0049327; 8.0000000; 0.0000000
4.9982113; 5.1408428; 0.9842869; -1.5349706; -0.0046831; 8.0000000; 0.0000000
5.1981397; 5.3406465; 0.9913560; -1.5358818; -0.0044324; 8.0000000; 0.0000000
5.3980682; 5.5404560; 0.9982482; -1.5367429; -0.0041818; 8.0000000; 0.0000000
5.5979966; 5.7402714; 1.0049732; -1.5375539; -0.0039306; 8.0000000; 0.0000000
5.7979251; 5.9400920; 1.0115413; -1.5383146; -0.0036791; 8.0000000; 0.0000000
5.9978535; 6.1399170; 1.0179623; -1.5390250; -0.0034275; 8.0000000; 0.0000000
6.1977820; 6.3397469; 1.0242465; -1.5396851; -0.0031752; 8.0000000; 0.0000000
6.3977104; 6.5395805; 1.0304038; -1.5402946; -0.0029228; 8.0000000; 0.0000000
6.5976389; 6.7394176; 1.0364443; -1.5408537; -0.0026701; 8.0000000; 0.0000000
6.7975673; 6.9392581; 1.0423781; -1.5413623; -0.0024170; 8.0000000; 0.0000000
6.9974958; 7.1391010; 1.0482153; -1.5418202; -0.0021639; 8.0000000; 0.0000000
7.1974242; 7.3389470; 1.0539661; -1.5422275; -0.0019105; 8.0000000; 0.0000000
